id,statement,label,speaker,party,context
8905,On the Cuba embargo,false,charlie-crist,democrat,"an interview on HBO's ""Real Time"""
9833,My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.,mostly-true,clay-pell,democrat,a TV debate
1519,"Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.",true,harry-reid,democrat,the televised health care summit
7928,The state GOP ticket says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.,false,terry-mcauliffe,democrat,a speech.
4325,"The Dodd-Frank financial-reform laws hundreds of new rules will force small banks and credit unions to burn up an estimated 2,260,631 labor hours just for compliance.",barely-true,sean-duffy,republican,an op-ed piece in the Washington Times
8818,We have the lowest beer tax in the nation.,false,rod-monroe,democrat,an Oregon Senate work session
105,"The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.",barely-true,mike-huckabee,republican,
8847,"For the first time in over a decade, business leaders around the world have declared that China is no longer the worlds No. 1 place to invest; America is.",mostly-true,barack-obama,democrat,State of the Union address
731,"Sarah Palin endorsed a Wasilla policy that charged sexual assault victims for their ""rape kits.""",half-true,blog-posting,none,blog postings on many Web sites.
908,"Energy nominee Steven Chu has called coal ""his worst nightmare.""",mostly-true,james-inhofe,republican,in a news release
5406,"When I was born, less than 10 percent of the federal budget was entitlement spending. Its now 60 percent of the budget.",half-true,rick-santorum,republican,"a Republican presidential debate in Mesa, Ariz."
5946,The recent process of awarding $3 billion worth of airport vending contracts was the most open and transparent procurement process in the citys history.,half-true,kasim-reed,democrat,a press release
6605,"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",barely-true,john-cornyn,republican,a Facebook post.
6117,Tim Kaine urged$500 billion in Medicare cuts.,false,american-crossroads,republican,a TV ad.
7094,Barack Obama is only the second Democrat in the last 75 years to win Ohio twice with more than 50 percent of the vote.,true,chris-redfern,democrat,a news conference
8638,"For the cost of $5 vanilla soy latte a day, you can get a sweet health insurance plan to match.",half-true,cover-oregon,organization,an Internet ad campaign
8420,"Says nearly 30,000 federal employees in Oregon were furloughed during the government shutdown.",false,suzanne-bonamici,democrat,an opinion piece.
8087,A provision of the Senate immigration bill would require you to have government permission to get a second job.,half-true,charles-kuck,none,an immigration forum
11708,ISIS is going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.,false,hillary-clinton,democrat,the Dec. 19 Democratic presidential debate
10571,America produces more oil and gas than any other nation in the world.,true,rick-perry,republican,a speech.
